,SAT,Top10,Accept,SFRatio,Expenses,GradRate,clust
0,0.7439024390243902,0.8472222222222222,0.10526315789473684,0.3684210526315789,0.25514388292540685,0.9,0
1,1.0,1.0,0.14473684210526316,0.0,1.0,0.4666666666666667,2
2,0.6219512195121951,0.4722222222222222,0.5921052631578947,0.15789473684210525,0.2974613183648922,0.16666666666666666,0
3,0.7439024390243902,0.6666666666666666,0.13157894736842105,0.3157894736842105,0.41562938528548776,0.7,0
4,0.6707317073170732,0.7638888888888888,0.25,0.3684210526315789,0.23983524994988245,0.7666666666666667,0
5,0.8170731707317073,0.8472222222222222,0.11842105263157894,0.21052631578947367,0.4275118004045853,0.9333333333333333,2
6,0.7560975609756098,0.8611111111111112,0.21052631578947367,0.3157894736842105,0.4169962275154453,0.9333333333333333,2
7,0.6097560975609756,0.6388888888888888,0.13157894736842105,0.3157894736842105,0.2081609593409998,0.8333333333333334,0
8,0.9634146341463414,0.875,0.0,0.2631578947368421,0.5616992582602832,1.0,2
9,0.7317073170731707,0.6527777777777778,0.39473684210526316,0.05263157894736842,0.9109912339851652,0.6666666666666666,2
10,0.9146341463414634,0.9166666666666666,0.21052631578947367,0.21052631578947367,0.4768639171875854,0.8,2
11,0.6219512195121951,0.7916666666666666,0.32894736842105265,0.2631578947368421,0.3526088462029123,0.7333333333333333,0
12,0.6097560975609756,0.7361111111111112,0.3684210526315789,0.3684210526315789,0.11696524575823294,0.9,0
13,0.18536585365853658,0.1388888888888889,0.5263157894736842,0.631578947368421,0.026990577900894826,0.43333333333333335,1
14,0.9024390243902439,0.875,0.0,0.10526315789473684,0.39211969893021814,0.9333333333333333,2
15,0.0,0.0,1.0,0.6842105263157895,0.006597291829928378,0.06666666666666667,1
16,0.8658536585365854,0.8611111111111112,0.07894736842105263,0.3157894736842105,0.5056587268320242,0.8666666666666667,2
17,0.17073170731707318,0.2916666666666667,0.6973684210526315,1.0,0.0,0.0,1
18,0.573170731707317,0.9305555555555556,0.34210526315789475,0.5789473684210527,0.11729328789342275,0.36666666666666664,0
19,0.6951219512195121,0.6527777777777778,0.47368421052631576,0.3684210526315789,0.5408321335495981,0.6666666666666666,2
20,0.4268292682926829,0.5138888888888888,0.7105263157894737,0.5263157894736842,0.12330739370523591,0.6,0
21,0.6829268292682927,0.7222222222222222,0.2894736842105263,0.2631578947368421,0.34351478923292816,0.7666666666666667,0
22,0.5365853658536586,0.6805555555555556,0.39473684210526316,0.42105263157894735,0.08465309544203678,0.8333333333333334,0
23,0.1951219512195122,0.16666666666666666,0.7236842105263158,0.47368421052631576,0.05746204734741485,0.13333333333333333,1
24,0.9024390243902439,0.9305555555555556,0.06578947368421052,0.2631578947368421,0.6343970403309581,0.9666666666666667,2
